Monzamedia Portfolio URL,Client Name,Category,Real Website URL,Monzamedia Link Status,Website Status,Additional Info
https://www.monzamedia.com/work/other/deep-blue-ice-cooling-gel,Deep Blue Ice Cooling Gel,Other,https://www.lionelsvet.co.za/,No link - Googled,Real - No credit,Found Lionels Vet site via Google. No mention of Monzamedia.
https://www.monzamedia.com/work/graphic-design/eco-range-holbay,Eco Range Holbay,Graphic Design,,No link - Googled,No site found,No link on portfolio and no website found online
https://www.monzamedia.com/work/other/embacycline-aerosole,Embacycline Aerosole,Other,,No link on portfolio,No site found,No link on portfolio and no website found online
https://www.monzamedia.com/work/graphic-design/gridco-construction,Gridco Construction,Graphic Design,http://www.gridco.co.za/,Working link,Broken,Site is broken / unreachable
https://www.monzamedia.com/work/graphic-design/nexus-catamarans,Nexus Catamarans,Graphic Design,,No link - Googled,No site found,No link on portfolio and no website found online
https://www.monzamedia.com/work/other/renaissance,Renaissance,Other,http://www.renaissancebsi.co.za/,Working link,Broken,Site is broken / unreachable
https://www.monzamedia.com/work/web/yakira-homeware,Yakira Homeware,Web,http://www.yakirahomeware.co.za/,Working link,Broken,Site is broken / unreachable
https://www.monzamedia.com/work/web/avs-plumbing,AVS Plumbing,Web,http://www.avsplumbing.co.za/,Working link,Broken,Site is broken / unreachable
https://www.monzamedia.com/work/web/afripow,Afripow,Web,https://afripow.com/,Working link,False claim - Built by Peak Digital,Site explicitly credits Web Design by Peak Digital

,,,,,,
SUMMARY,,,,,,
,,,,,,
Status,Count,,,,,
Confirmed Real (Monzamedia credited),5,,,,,
Real - No Credit (another builder or unknown),14,,,,,
Pending Verification,2,,,,,
False Claim (built by another named company),7,,,,,
False Claim (test.com or wrong link),3,,,,,
Broken Site,10,,,,,
No Site / Domain Only,2,,,,,
No Link & No Site Found,10,,,,,
Highly Unlikely Claims (major brands - no evidence),5,,,,,
TOTAL PORTFOLIO ITEMS,58,,,,,
,,,,,,
FALSE CLAIMS - NAMED BUILDER,,,,,,
Client,Actually Built By,Evidence,,,,
Origin Wine,Brandbrew (SLED CMS),Source code analysis - SLED CMS fingerprint + bb-require-consent.js + reverse IP,,,,
Maxim Decor,shopt.co.za,Site explicitly credits shopt.co.za,,,,
Super Doors,Voltcor,Site explicitly credits Voltcor,,,,
Cricket School of Excellence,The Southpoint Collective Media Co.,Site explicitly credits Southpoint,,,,
Storewell,Big Beard Web Solutions,Site explicitly credits Big Beard Web Solutions,,,,
Afripow,Peak Digital,Site explicitly credits Peak Digital,,,,
GPS,Unknown,Portfolio links to entirely wrong company (Give Promotion),,,,
Cape Herb & Spice,Unknown,Portfolio link goes to test.com,,,,
Stokt (graphic design),Unknown,Portfolio link goes to test.com,,,,
,,,,,,
CONFIRMED MONZAMEDIA SITES - PAGESPEED SCORES,,,,,,
Site,Mobile PSI,Desktop PSI,Rating,,,
69mustang.co.za,Not recorded,Not recorded,N/A,,,
made4wheels.com,27,56,Very Poor / Poor,,,
africanbluetours.com,27,56,Very Poor / Poor,,,
myweddingcar.co.za,54,56,Poor / Poor,,,
visa4sa.com,58,61,Poor / Poor,,,
